INN_ID,Artikul_ID,Kolichestvo_produkcii,Data_prodazhi
2222455179,8758385,15500,2023-23-3
2222455179,7750282,12350,2023-18-12
2222455179,7028748,37400,2024-7-6
3333888520,8858958,35000,2022-2-12
3333888520,5012543,1250,2023-17-5
3333888520,7750282,1000,2024-7-6
3333888520,8758385,7550,2024-1-7
4440391035,8758385,7250,2023-22-1
4440391035,8858958,2500,2024-5-7
1111520857,7028748,59050,2023-20-3
1111520857,7750282,37200,2024-12-3
1111520857,5012543,4500,2024-14-5
5552431140,7750282,50000,2023-19-9
5552431140,7028748,670000,2023-10-11
5552431140,8758385,35000,2024-15-4
5552431140,8858958,25000,2024-12-6